                                                                     
                                                                     
                                                                     
                                             
SubjectName		LengthR	MedDiamR	MedDiamR-I	MedDiamR-II	MedDiamR-III	LengthL	MedDiamL	MedDiamL-I	MedDiamL-II	MedDiamL-III
ALVIN_mwc3191_J.nii	270.769354	25.727533	17.650606	27.798766	31.121015	275.957687	27.242129	18.369262	29.021502	35.377988
ALVIN_mwc3191_K.nii	278.965840	27.161808	17.952537	28.667337	32.162816	276.907688	27.594314	18.737931	29.524177	33.000573
ALVIN_mwc3191_L.nii	269.238621	25.783460	17.564038	27.375689	30.606926	286.694057	29.584974	18.462510	29.492892	39.451388
ALVIN_mwc3192_A.nii	268.972900	26.266485	17.714786	27.961941	30.065541	283.180173	28.510782	18.790473	28.501168	38.619518
ALVIN_mwc3192_B.nii	273.670344	26.662013	18.105599	27.804563	29.708616	271.031381	26.033624	18.829869	29.084133	30.526451
ALVIN_mwc3192_C.nii	269.973795	25.578101	17.942529	27.321732	29.017425	284.211133	28.601564	18.798454	27.502914	39.665630
ALVIN_mwc3192_D.nii	277.087549	26.292465	17.763466	27.688576	29.542427	274.237702	25.872150	18.786469	29.461332	32.805544
ALVIN_mwc3192_E.nii	269.542969	26.067525	17.775419	27.709607	29.433903	214.057405	25.778484	18.124575	30.108822	26.729999
ALVIN_mwc3192_F.nii	266.392066	26.315238	17.727447	27.820210	29.654436	273.929311	26.532199	18.822520	29.170512	32.544137
ALVIN_mwc3192_G.nii	272.888295	26.687754	18.117311	28.136471	29.690349	274.869123	27.022256	18.856982	29.524698	33.861414
ALVIN_mwc3192_H.nii	268.429270	25.720119	17.260760	27.199091	29.117594	296.612960	26.936694	18.847499	28.395773	37.477172
ALVIN_mwc3192_I.nii	267.505421	26.662323	17.907131	28.466628	30.414769	272.159871	27.147939	19.020693	29.762194	31.768341
ALVIN_mwc3192_J.nii	270.168709	26.497883	18.058314	27.831469	30.767608	272.542106	26.384452	18.741878	29.292582	31.146188
ALVIN_mwc3192_K.nii	270.520779	25.764767	17.810163	27.960411	29.962612	278.985473	28.154379	18.853966	28.729140	37.305844
ALVIN_mwc3193_A.nii	276.003536	24.962367	17.273137	25.761142	32.325451	274.579032	25.462191	18.484058	26.783883	31.667630
ALVIN_mwc3193_B.nii	276.498494	25.568072	16.528984	26.309491	31.881999	275.314738	25.355660	18.454257	27.000611	32.765711
ALVIN_mwc3193_C.nii	270.666452	25.977370	17.570088	26.007888	41.038680	276.431241	25.770590	18.484058	27.148522	30.912321
ALVIN_mwc3193_D.nii	273.589226	26.858861	17.085573	26.974768	41.157221	276.131339	26.078617	18.586073	27.239641	31.285616
ALVIN_mwc3193_E.nii	271.963366	26.022486	17.262585	26.098366	39.322363	274.294429	25.742934	18.159096	26.474531	34.107633
ALVIN_mwc3193_F.nii	275.619267	25.495405	17.080660	26.057919	32.461274	274.394664	26.097369	18.484058	27.328813	32.997689
ALVIN_mwc3193_G.nii	274.655315	25.290218	17.652162	26.085069	31.975905	273.957633	25.706331	18.188368	26.837078	30.600555
ALVIN_mwc3193_H.nii	276.322632	24.811292	17.552315	25.798146	31.682425	333.483945	27.955127	18.850949	27.621267	34.584661
ALVIN_mwc3193_I.nii	276.387989	25.320776	17.607466	26.215024	32.074761	274.971503	25.901783	18.484058	27.090128	32.937983
ALVIN_mwc3193_J.nii	275.841901	25.353266	16.581123	25.784922	31.642835	274.163245	26.429087	18.254921	26.967605	32.862800
ALVIN_mwc3193_K.nii	270.864636	26.320765	17.529524	26.682595	41.013344	277.521110	26.316222	18.625404	27.132936	32.559887
ALVIN_mwc3194_A.nii	266.464623	26.670310	17.556695	27.662373	40.295839	271.684429	29.320039	31.167418	29.042965	21.162233
ALVIN_mwc3194_B.nii	281.796342	25.903722	17.438573	28.420882	30.942178	275.377313	28.749508	29.506036	29.498294	21.678173
ALVIN_mwc3194_C.nii	283.167057	25.841895	17.419288	27.675677	31.283573	268.895592	28.934016	30.303218	28.415023	21.162233
ALVIN_mwc3194_D.nii	293.338475	27.620836	17.537931	28.544274	40.335808	270.144546	29.175313	31.178750	28.619717	21.265295
ALVIN_mwc3194_E.nii	283.654980	26.222423	17.130414	27.478502	32.493918	263.424588	29.285586	32.476681	28.850806	20.329292
ALVIN_mwc3194_F.nii	278.463632	26.234239	17.663732	27.481402	31.414430	267.109117	29.082487	31.994198	28.492688	21.162233
ALVIN_mwc3194_G.nii	285.854297	26.467974	17.491036	27.566712	32.554889	272.119469	29.245979	31.312369	29.033737	21.162233
ALVIN_mwc3194_H.nii	290.859031	27.803168	17.724192	27.803168	40.648323	266.049262	29.051863	31.498432	28.538407	21.162233
ALVIN_mwc3194_I.nii	279.050291	26.355392	17.567948	27.635200	31.312992	311.393867	29.562063	28.497227	31.237978	25.048780
ALVIN_mwc3194_J.nii	273.534305	27.490923	17.332315	27.984492	41.600024	259.521580	28.370159	31.000209	26.983710	20.380823
ALVIN_mwc3195_A.nii	285.779526	28.754044	17.907355	28.684342	43.069314	253.781192	28.199137	31.111374	27.380135	18.754922
ALVIN_mwc3195_B.nii	280.347886	28.232261	17.177348	28.415570	43.079874	254.128211	29.029301	31.312209	27.742238	20.641846
ALVIN_mwc3195_C.nii	289.436258	28.044456	17.808380	30.804279	34.127600	257.514396	29.150384	32.871446	27.705419	21.948732
ALVIN_mwc3195_D.nii	288.200050	27.491051	17.889386	28.966984	34.655015	258.148088	28.458253	31.822965	27.393696	19.440630
ALVIN_mwc3195_E.nii	288.648833	27.431141	17.905365	28.533402	33.227643	292.175397	29.686278	17.828464	29.686278	41.064915
ALVIN_mwc3195_F.nii	287.611441	27.762893	18.221953	29.962702	34.141605	259.081481	29.373239	33.009121	27.888259	22.525954
ALVIN_mwc3195_G.nii	284.059871	27.572899	18.730913	29.946151	35.078702	261.582109	29.741840	31.391927	30.868938	22.872063
ALVIN_mwc3195_H.nii	290.757260	29.155433	18.445551	28.881689	42.261678	313.799466	30.713743	20.067946	30.251110	41.650129
ALVIN_mwc3195_I.nii	282.809386	29.003498	18.422049	28.833199	43.647758	308.518934	30.275944	18.408161	29.891199	38.775345
ALVIN_mwc3195_J.nii	284.997702	27.622648	18.088712	28.853849	33.728534	273.585956	27.918214	18.413666	29.016326	34.828348
ALVIN_mwc3195_K.nii	287.074324	27.609467	17.615806	29.283060	34.491710	265.535691	28.512976	33.160345	27.259104	18.785693
ALVIN_mwc3195_L.nii	291.409576	28.078457	18.101500	29.692923	32.299943	283.669074	28.326861	18.322715	29.278248	35.528329
ALVIN_mwc3196_A.nii	282.758755	27.489723	17.145116	28.214163	34.729838	299.241018	29.252376	19.016454	28.010210	38.136094
ALVIN_mwc3196_B.nii	291.023121	28.695307	17.520779	28.574413	40.556809	280.174016	26.483158	18.531379	28.503362	34.344455
ALVIN_mwc3196_C.nii	287.387066	28.123373	18.505357	27.754163	38.439402	288.993491	30.307434	19.488949	29.587944	44.233880
